clause_a,clause_b,actual_relationship
REG001,REG002,Neutral
REG001,REG006,Neutral
REG001,REG010,Neutral
REG001,REG011,Neutral
REG001,POL006,Contradiction
REG002,REG010,Neutral
REG002,REG011,Neutral
REG002,POL006,Neutral
REG003,REG004,Neutral
REG003,REG005,Neutral
REG003,REG018,Exception
REG003,EXC001,Neutral
REG004,REG005,Neutral
REG004,REG018,Neutral
REG004,EXC001,Neutral
REG005,REG018,Neutral
REG005,POL001,Neutral
REG005,EXC001,Exception
REG006,REG007,Neutral
REG006,REG015,Neutral
REG006,REG016,Neutral
REG006,REG018,Neutral
REG006,REG019,Neutral
REG006,PROC004,Neutral
REG006,REG021,Neutral
REG006,POL007,Neutral
REG007,REG015,Neutral
REG007,REG016,Neutral
REG007,REG019,Neutral
REG007,PROC004,Neutral
REG007,REG021,Neutral
REG007,POL007,Neutral
REG007,POL009,Neutral
REG008,REG009,Neutral
REG008,POL003,Neutral
REG008,POL004,Neutral
REG008,PROC001,Contradiction
REG008,EXC002,Neutral
REG008,EXC004,Neutral
REG008,POL008,Neutral
REG008,POL009,Exception
REG009,REG011,Neutral
REG009,POL003,Neutral
REG009,POL004,Neutral
REG009,PROC001,Neutral
REG009,EXC002,Neutral
REG009,EXC004,Neutral
REG009,POL008,Neutral
REG009,POL009,Neutral
REG010,REG011,Neutral
REG010,PROC005,Neutral
REG010,POL006,Neutral
REG011,REG013,Neutral
REG011,REG014,Neutral
REG011,EXC003,Neutral
REG011,POL006,Exception
REG012,REG013,Neutral
REG012,REG014,Neutral
REG012,REG020,Neutral
REG012,EXC003,Neutral
REG013,REG014,Neutral
REG013,REG019,Neutral
REG013,REG020,Neutral
REG013,EXC001,Neutral
REG013,EXC002,Neutral
REG013,EXC003,Exception
REG014,REG020,Neutral
REG014,EXC003,Neutral
REG015,REG016,Neutral
REG015,REG019,Neutral
REG015,PROC004,Neutral
REG015,REG021,Neutral
REG015,POL007,Neutral
REG016,REG019,Neutral
REG016,PROC004,Neutral
REG016,REG021,Neutral
REG016,POL007,Neutral
REG017,POL003,Neutral
REG017,PROC005,Neutral
REG018,PROC002,Neutral
REG018,EXC001,Neutral
REG019,PROC004,Neutral
REG019,EXC003,Neutral
REG019,REG021,Neutral
REG019,POL007,Contradiction
REG020,PROC002,Neutral
REG020,EXC003,Neutral
REG020,POL006,Neutral
POL001,POL002,Neutral
POL001,EXC005,Neutral
POL002,EXC005,Exception
POL003,POL004,Neutral
POL003,PROC001,Neutral
POL003,EXC002,Neutral
POL003,EXC004,Exception
POL003,POL008,Redundancy
POL003,POL009,Neutral
POL004,PROC001,Neutral
POL004,PROC003,Neutral
POL004,EXC002,Neutral
POL004,EXC004,Contradiction
POL004,POL008,Neutral
POL004,POL009,Neutral
PROC001,PROC002,Neutral
PROC001,EXC002,Neutral
PROC001,EXC004,Neutral
PROC001,POL008,Neutral
PROC001,POL009,Neutral
PROC004,REG021,Neutral
PROC004,POL007,Neutral
PROC005,POL009,Neutral
EXC002,EXC004,Neutral
EXC002,POL008,Neutral
EXC002,POL009,Exception
EXC004,POL008,Neutral
EXC004,POL009,Neutral
REG021,POL006,Neutral
REG021,POL007,Entailment
POL008,POL009,Entailment
