clause_id,clause_text,clause_type,source_document,governance_level,subject_domain,predicate_logic,exception_to,exception_rationale
REG001,A student shall be eligible to appear in the final examination only if he or she has secured at least 75% attendance.,Regulation,Student Academic Regulations,3,Attendance,Student(x) AND EligibleForFinalExam(x) -> MinAttendanceMet(x),,
REG002,No relaxation in the attendance requirement shall be granted under any circumstances.,Regulation,Student Academic Regulations,3,Attendance,AttendanceRelaxation(x) -> FALSE,,
REG003,An applicant shall have completed at least 12 years of education for undergraduate admission.,Regulation,Admission Regulations,3,Admission,"Applicant(x) AND YearsOfEducation(x,n) AND n>=12 -> EligibleForAdmission(x)",,
REG004,Admission shall remain provisional until duly attested academic documents are submitted.,Regulation,Admission Regulations,3,Admission,Applicant(x) AND NOT AttestedDocumentsSubmitted(x) -> NOT AdmissionConfirmed(x),,
REG005,Admission shall be awarded on merit based on admission test and previous academic performance.,Regulation,Admission Regulations,3,Admission,Applicant(x) AND MeritSatisfied(x) -> EligibleForAdmission(x),,
REG006,Transfer of credits shall be permissible only if the candidate secured grade C+ or above.,Regulation,Academic Regulations,3,Academics,Student(x) AND CreditTransferAllowed(x) -> GradeAtLeastCPlus(x),,
REG007,Transfer credits shall not exceed the prescribed university limits.,Regulation,Academic Regulations,3,Academics,"TransferCredits(x,n) AND n<=m -> TransferApproved(x)",,
REG008,Tuition fee shall be paid before the due date to confirm registration.,Regulation,Academic Regulations,3,Finance,Student(x) AND FeePaid(x) -> RegistrationConfirmed(x),,
REG009,A student who defaults in fee payment shall not be permitted to attend classes.,Regulation,Academic Regulations,3,Finance,Student(x) AND FeeDefault(x) -> NOT AttendClasses(x),,
REG010,Attendance shall be recorded only after outstanding dues are cleared.,Regulation,Academic Regulations,3,Attendance,DuesCleared(x) -> AttendanceRecorded(x),,
REG011,A student missing 25% of classes shall be required to repeat the course.,Regulation,Academic Regulations,3,Attendance,AttendanceBelow75(x) -> RepeatCourse(x),,
REG012,A withdrawn course shall receive a W grade and shall not count toward GPA.,Regulation,Academic Regulations,3,Examination,WithdrawnCourse(c) -> GradeW(c) AND NOT CountInGPA(c),,
REG013,A student may withdraw from a course within ten weeks from the start of the semester.,Regulation,Academic Regulations,3,Examination,WithinWithdrawalPeriod(x) -> CanWithdrawCourse(x),,
