clause_a,clause_b,relationship,similarity,confidence,hierarchy_violation,engine,explanation
REG001,REG002,Neutral,0.156,0.844,FALSE,symbolic,"REG001 (Student Academic Regulations, level 3) was compared with REG002 (Student Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG001,REG006,Neutral,0.2809,0.7191,FALSE,symbolic,"REG001 (Student Academic Regulations, level 3) was compared with REG006 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG001,REG010,Neutral,0.1544,0.8456,FALSE,symbolic,"REG001 (Student Academic Regulations, level 3) was compared with REG010 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG001,REG011,Neutral,0.1605,0.8395,FALSE,symbolic,"REG001 (Student Academic Regulations, level 3) was compared with REG011 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG001,POL006,Contradiction,0.3771,0.8443,TRUE,symbolic,"REG001 (Student Academic Regulations, level 3) was compared with POL006 (Department Attendance Policy, level 4). The clauses discuss the same domain but set different numeric values: [75.0] and [60.0]. This is a hierarchy violation because lower-level POL006 conflicts with higher-level REG001."
REG002,REG010,Neutral,0.1218,0.8782,FALSE,symbolic,"REG002 (Student Academic Regulations, level 3) was compared with REG010 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG002,REG011,Neutral,0.0635,0.9365,FALSE,symbolic,"REG002 (Student Academic Regulations, level 3) was compared with REG011 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG002,POL006,Neutral,0.1559,0.8441,FALSE,symbolic,"REG002 (Student Academic Regulations, level 3) was compared with POL006 (Department Attendance Policy, level 4). No direct logical conflict, implication, or exception was established."
REG003,REG004,Neutral,0.0511,0.9489,FALSE,symbolic,"REG003 (Admission Regulations, level 3) was compared with REG004 (Admission Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG003,REG005,Neutral,0.0808,0.9192,FALSE,symbolic,"REG003 (Admission Regulations, level 3) was compared with REG005 (Admission Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG003,REG018,Neutral,0.1269,0.8731,FALSE,symbolic,"REG003 (Admission Regulations, level 3) was compared with REG018 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG003,EXC001,Neutral,0.1095,0.8905,FALSE,symbolic,"REG003 (Admission Regulations, level 3) was compared with EXC001 (Admission Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG004,REG005,Neutral,0.1586,0.8414,FALSE,symbolic,"REG004 (Admission Regulations, level 3) was compared with REG005 (Admission Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG004,REG018,Neutral,0.0509,0.9491,FALSE,symbolic,"REG004 (Admission Regulations, level 3) was compared with REG018 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG004,EXC001,Neutral,0.0364,0.9636,FALSE,symbolic,"REG004 (Admission Regulations, level 3) was compared with EXC001 (Admission Regulations, level 3). No direct logical conflict, implication, or exception was established."
